identifier,jp,en,zh
FONT_NAME,"ＭＳ ゴシック","MS Gothic",ＭＳ ゴシック
WINDOW_TITLE,"東方永夜抄　〜 Imperishable Night. ver 1.00d","Touhou Eiyashou ~ Imperishable Night. ver 1.00d",東方永夜抄　〜 Imperishable Night. ver 1.00d
ERR_LOGGER_START,"東方動作記録 --------------------------------------------- \r\n","Touhou log ---------------------------------------------\r\n","东方动作日志 --------------------------------------------- \r\n"
ERR_OPTION_CHANGED_RESTART,"再起動を要するオプションが変更されたので再起動します\r\n","An option that requires a restart has been changed.\r\n","因更改了需要重启的选项，即将重启\r\n"
ERR_D3D_ERR_COULD_NOT_CREATE_OBJ,"Direct3D オブジェクトは何故か作成出来なかった\r\n","Direct3D object could not be created for some reason\r\n","Direct3D 对象不知为何无法创建\r\n"
DBG_SCREEN_INIT_32BITS,"初回起動、画面を 32Bits で初期化しました\r\n","First run, using 32-bit textures\r\n","首次启动，已将画面初始化为 32Bits\r\n"
DBG_SET_REFRESH_RATE_60HZ,"リフレッシュレートを60Hzに変更を試みます\r\n","Attempting to change refresh rate to 60Hz...\r\n","尝试将刷新率更改为 60Hz\r\n"
DBG_TRY_ASYNC_VSYNC,"VSync非同期可能かどうかを試みます\r\n","Testing whether async vsync is possible...\r\n","测试是否支持异步 VSync\r\n"
DBG_USING_TL_HAL_MODE,"T&L HAL で動作しま〜す\r\n","Using T&L HAL!\r\n","将使用 T&L HAL 运行～\r\n"
DBG_TL_HAL_UNAVAILABLE,"T&L HAL は使用できないようです\r\n","T&L HAL does not seem to be usable\r\n","T&L HAL 似乎无法使用\r\n"
DBG_HAL_UNAVAILABLE,"HAL も使用できないようです\r\n","HAL isn't usable either\r\n","HAL 似乎也无法使用\r\n"
DBG_USING_HAL_MODE,"HAL で動作します\r\n","Using HAL\r\n","将使用 HAL 运行\r\n"
ERR_NO_SUPPORT_FOR_D3DTEXOPCAPS_ADD,"D3DTEXOPCAPS_ADD をサポートしていません、色加算エミュレートモードで動作します\r\n","D3DTEXOPCAPS_ADD isn't supported, using emulated blend mode...\r\n","不支持 D3DTEXOPCAPS_ADD，将以颜色叠加模拟模式运行\r\n"
ERR_NO_LARGE_TEXTURE_SUPPORT,"512 以上のテクスチャをサポートしていません。殆どの絵がボケて表示されます。\r\n","Textures greater than 512 texels are unsupported. Expect textures to be blurred.\r\n","不支持 512 以上的纹理。大部分画面将显示模糊。\r\n"
ERR_D3DFMT_A8R8G8B8_UNSUPPORTED,"D3DFMT_A8R8G8B8 をサポートしていません、減色モードで動作します\r\n","D3DFMT_A8R8G8B8 isn't supported, using low-color mode...\r\n","不支持 D3DFMT_A8R8G8B8，将以减色模式运行\r\n"
DBG_USING_REF_MODE,"REF で動作しますが、重すぎて恐らくゲームになりません...\r\n","Using REF renderer, but it might become too heavy for the game...\r\n","将使用 REF 渲染，但恐怕会太慢而无法进行游戏……\r\n"
DBG_CANT_SET_REFRESH_RATE,"リフレッシュレートが変更できません\r\n","Can't set refresh rate\r\n","无法更改刷新率\r\n"
ERR_D3D_INIT_FAILED,"Direct3D の初期化に失敗、これではゲームは出来ません\r\n","Direct3D initialization failed, the game cannot be played.\r\n","Direct3D 初始化失败，这样将无法进行游戏\r\n"
ERR_ASYNC_VSYNC_UNSUPPORTED,"非同期更新も行えません。一番汚いモードに変更します\r\n","Can't do async vsync. Switching to the worst mode...\r\n","无法进行异步更新。将切换到画质最差的模式\r\n"
ERR_CHANGE_REFRESH_RATE,"*** リフレッシュレートを60Hzに変更することを推奨します ***\r\n","*** You should change your refresh rate to 60Hz ***\r\n","*** 建议将刷新率更改为 60Hz ***\r\n"
DBG_D3D_CAPS_START,"現在のビデオカード、及びドライバの能力詳細\r\n","Current video card and driver capabilities\r\n","当前显卡及驱动程序的性能详情\r\n"
